generation_number,alpha0y,xi,nicheidx1,amountniche1,amount_change1,nicheidx2,amountniche2,amount_change2,0,0.6,0,0,0,1,83,0
23,0.8,0.2,0,643,0,1,330,1,,,,,,,,
23,3.2,0.6,0,913,0,1,0,0,,,,,,,,
24,2.4,0.2,0,376,0,1,594,0,,,,,,,,
24,0,0.2,0,0,11665,1,988,11730,,,,,,,,
24,3.2,0.4,0,0,0,1,951,0,,,,,,,,
24,0.8,0.6,0,666,35,1,294,63,,,,,,,,
24,3.4,0.2,0,954,0,1,0,0,,,,,,,,
24,0.8,0.4,0,515,16,1,426,20,,,,,,,,
24,0,0.6,0,328,8782,1,633,9646,,,,,,,,
24,1.6,0.4,0,411,0,1,547,0,,,,,,,,
24,1.6,0.2,0,743,0,1,247,0,,,,,,,,
24,0,0.4,0,0,11837,1,975,11933,,,,,,,,
24,2.4,0.4,0,603,0,1,357,0,,,,,,,,
24,2.4,0.6,0,346,1,1,619,0,,,,,,,,
24,0,0.8,0,0,11644,1,946,11772,,,,,,,,
24,1.6,0.6,0,500,5,1,447,5,,,,,,,,
24,0.8,0.2,0,573,0,1,410,1,,,,,,,,
24,3.2,0.6,0,913,0,1,0,0,,,,,,,,
25,2.4,0.2,0,423,0,1,510,0,,,,,,,,
25,0,0.2,0,977,12665,1,0,11730,,,,,,,,
25,3.2,0.4,0,0,0,1,910,0,,,,,,,,
25,0.8,0.6,0,556,39,1,399,65,,,,,,,,
25,3.4,0.2,0,951,0,1,0,0,,,,,,,,
25,0.8,0.4,0,455,17,1,497,23,,,,,,,,
25,0,0.6,0,229,8792,1,735,9946,,,,,,,,
25,1.6,0.2,0,665,0,1,317,0,,,,,,,,
25,1.6,0.4,0,568,0,1,400,0,,,,,,,,
25,0,0.4,0,968,12835,1,0,11933,,,,,,,,
25,2.4,0.4,0,699,0,1,260,0,,,,,,,,
25,2.4,0.6,0,399,1,1,546,0,,,,,,,,
25,0,0.8,0,948,12644,1,0,11772,,,,,,,,
25,1.6,0.6,0,564,5,1,366,5,,,,,,,,
25,0.8,0.2,0,449,0,1,538,1,,,,,,,,
25,3.2,0.6,0,934,0,1,0,0,,,,,,,,
26,2.4,0.2,0,500,0,1,480,0,,,,,,,,
26,0,0.2,0,0,12665,1,989,12730,,,,,,,,
26,3.2,0.4,0,0,0,1,958,0,,,,,,,,
26,0.8,0.6,0,455,41,1,495,70,,,,,,,,
26,3.4,0.2,0,955,0,1,0,0,,,,,,,,
26,1.6,0.2,0,573,0,1,406,0,,,,,,,,
26,0.8,0.4,0,490,18,1,476,23,,,,,,,,
26,0,0.6,0,366,8812,1,589,9965,,,,,,,,
26,1.6,0.4,0,606,0,1,357,0,,,,,,,,
26,0,0.4,0,0,12835,1,974,12930,,,,,,,,
26,2.4,0.4,0,699,0,1,257,0,,,,,,,,
26,2.4,0.6,0,442,1,1,514,0,,,,,,,,
26,0,0.8,0,0,12644,1,947,12772,,,,,,,,
26,1.6,0.6,0,595,5,1,331,5,,,,,,,,
26,0.8,0.2,0,328,0,1,656,1,,,,,,,,
26,3.2,0.6,0,930,0,1,0,0,,,,,,,,
27,2.4,0.2,0,552,0,1,419,0,,,,,,,,
27,0,0.2,0,987,13665,1,0,12730,,,,,,,,
27,3.2,0.4,0,0,0,1,953,0,,,,,,,,
27,0.8,0.6,0,426,45,1,525,72,,,,,,,,
27,3.4,0.2,0,942,0,1,0,0,,,,,,,,
27,1.6,0.2,0,423,0,1,558,0,,,,,,,,
27,0.8,0.4,0,562,18,1,404,25,,,,,,,,
27,0,0.6,0,111,8822,1,844,10380,,,,,,,,
27,1.6,0.4,0,601,0,1,368,0,,,,,,,,
27,0,0.4,0,964,13822,1,0,12930,,,,,,,,
27,2.4,0.4,0,626,0,1,335,0,,,,,,,,
27,0,0.8,0,953,13642,1,0,12772,,,,,,,,
27,2.4,0.6,0,420,1,1,502,0,,,,,,,,
27,1.6,0.6,0,551,5,1,397,5,,,,,,,,
27,0.8,0.2,0,260,0,1,705,1,,,,,,,,
27,3.2,0.6,0,909,0,1,0,0,,,,,,,,
28,2.4,0.2,0,598,0,1,388,0,,,,,,,,
28,0,0.2,0,0,13665,1,992,13730,,,,,,,,
28,3.2,0.4,0,0,0,1,966,0,,,,,,,,
28,0.8,0.6,0,439,48,1,497,78,,,,,,,,
28,3.4,0.2,0,967,0,1,0,0,,,,,,,,
28,1.6,0.2,0,347,0,1,623,0,,,,,,,,
28,1.6,0.4,0,484,0,1,460,0,,,,,,,,
28,0,0.6,0,633,9323,1,314,10385,,,,,,,,
28,0.8,0.4,0,652,18,1,319,27,,,,,,,,
28,0,0.4,0,2,13822,1,962,13920,,,,,,,,
28,2.4,0.4,0,587,0,1,372,0,,,,,,,,
